Node ID,label,Capacity,x,y
N100,Seat,757,1006,397
N101,Seat,454,938,393
N102,Seat,737,880,392
N103,Seat,804,813,393
N104,Seat,721,741,390
N105,Seat,433,685,393
N106,Seat,639,635,393
N107,Seat,749,553,418
N108,Seat,226,497,434
N109,Seat,308,475,459
N110,Seat,686,484,514
N111,Seat,850,484,583
N112,Seat,900,483,655
N113,Seat,784,474,721
N114,Seat,970,540,751
N115,Seat,912,597,780
N116,Seat,1128,672,790
N117,Seat,1045,744,789
N118,Seat,1158,818,791
N119,Seat,1173,885,790
N120,Seat,1142,957,790
N121,Seat,915,1032,782
N201,Seat,436,945,322
N202,Seat,514,883,321
N203,Seat,572,812,321
N204,Seat,525,740,320
N205,Seat,399,678,322
N216,Seat,958,667,926
N217,Seat,850,743,926
N218,Seat,898,818,925
N219,Seat,933,885,925
N220,Seat,1016,957,911
N221,Seat,405,1012,910
S1,Stair,176,916,322
S2,Stair,176,847,323
S3,Stair,176,775,322
S4,Stair,176,708,323
S5,Stair,213,959,392
S6,Stair,213,913,392
S7,Stair,213,850,393
S8,Stair,213,773,393
S9,Stair,213,707,392
S10,Stair,213,663,392
S11,Stair,179,592,395
S12,Stair,178,513,430
S13,Stair,178,585,399
S14,Stair,178,477,480
S15,Stair,178,481,545
S16,Stair,178,480,617
S17,Stair,178,477,690
S18,Stair,178,501,738
S19,Stair,178,565,770
S20,Stair,320,628,788
S21,Stair,300,702,794
S22,Stair,300,775,792
S23,Stair,300,848,792
S24,Stair,300,921,792
S25,Stair,300,993,786
S26,Stair,230,702,927
S27,Stair,230,776,927
S28,Stair,230,848,925
S29,Stair,230,920,923
S30,Stair,230,995,912
S31,Stair,122,1043,412
S32,Stair,100,968,323
S33,Stair,142,655,327
S34,Stair,280,1062,773
S35,Stair,230,626,921
EF,Exit,5415,315,370
EG,Exit,1775,273,597
EH,Exit,3585,279,653
ED,Exit,2225,1060,379
EC,Exit,1775,965,350
EB,Exit,750,915,346
EA,Exit,900,847,347
EK,Exit,750,775,346
EJ,Exit,2125,708,347
A1,Aisle,161,658,346
A2,Aisle,39,565,354
A3,Aisle,31,494,394
A4,Aisle,62,433,476
A5,Aisle,54,430,540
A6,Aisle,57,422,615
A7,Aisle,26,418,684
A8,Aisle,208,473,784
A9,Aisle,1150,535,823
A10,Aisle,863,610,853
A11,Aisle,1001,702,868
A12,Aisle,1189,773,866
A13,Aisle,658,847,868
A14,Aisle,185,921,868
A15,Aisle,132,1010,857
A16,Aisle,157,1091,824
A17,Aisle,149,590,107
A18,Aisle,134,868,101
A19,Aisle,135,1367,151
A20,Aisle,122,1255,417
A21,Aisle,138,1358,742
A22,Aisle,216,689,1019
A23,Aisle,211,1013,983
A24,Aisle,111,922,991
A25,Aisle,148,849,990
A26,Aisle,122,774,991
A27,Aisle,190,701,990
A28,Aisle,83,610,984
A29,Aisle,699,381,274
